id,business_type,input_text,budget,timeline_weeks,portability,notification_requirement,platform,features,tech_stack,estimated_cost,estimated_timeline
1,restaurant,"I need a food delivery app with real-time tracking and push notifications for order updates",25000,10,high,major,mobile,"User Authentication, Real-time Tracking, Push Notifications, Payment Integration, Order Management, Restaurant Dashboard",Flutter + Firebase,25000,10
2,retail,"I want an e-commerce website for selling clothing and accessories",18000,8,medium,minor,web,"Product Catalog, Shopping Cart, Payment Gateway, User Accounts, Order Management, Admin Dashboard",MERN Stack,18000,8
3,healthcare,"I need a patient management system for my clinic",30000,12,low,none,desktop,"Patient Records, Appointment Scheduling, Billing System, Medical History, Prescription Management, Reports",Electron + React,30000,12
4,fitness,"I want a mobile app for tracking workouts and nutrition",22000,9,high,major,mobile,"Workout Tracking, Nutrition Log, Progress Charts, Social Features, Push Notifications, Wearable Integration",React Native + Node.js,22000,9
5,education,"I need an online learning platform for courses",28000,14,medium,minor,web,"Course Management, Video Streaming, Quizzes, Progress Tracking, Discussion Forums, Certificates",Django + PostgreSQL,28000,14
6,finance,"I want a personal finance tracking app",15000,6,high,major,mobile,"Expense Tracking, Budget Planning, Bill Reminders, Financial Reports, Push Notifications, Bank Integration",Swift + iOS Native,15000,6
7,real_estate,"I need a property management system",35000,16,low,none,desktop,"Property Listings, Tenant Management, Maintenance Tracking, Financial Reports, Document Storage, Analytics",Qt + Python,35000,16
8,transportation,"I want a ride-sharing app like Uber",40000,18,high,major,mobile,"User Authentication, GPS Tracking, Payment Processing, Driver Management, Real-time Notifications, Rating System",React Native + Node.js,40000,18
9,entertainment,"I need a streaming platform for movies and TV shows",32000,15,medium,minor,web,"Video Streaming, User Profiles, Recommendations, Watchlist, Payment Integration, Content Management",MEAN Stack,32000,15
10,logistics,"I want a warehouse management system",38000,20,low,none,desktop,"Inventory Management, Order Processing, Shipping Tracking, Barcode Scanning, Reports, Analytics",WPF + C#,38000,20
11,travel,"I need a travel booking app with flight and hotel reservations",26000,11,high,major,mobile,"Flight Search, Hotel Booking, Payment Gateway, User Accounts, Push Notifications, Travel Itinerary",Flutter + Firebase,26000,11
12,automotive,"I want a car dealership management system",42000,22,low,none,desktop,"Inventory Management, Customer Management, Sales Tracking, Financial Reports, Service Scheduling, Analytics",Qt + Python,42000,22
13,beauty,"I need a salon appointment booking app",19000,7,high,major,mobile,"Appointment Booking, Service Catalog, Payment Processing, Push Notifications, Customer Reviews, Loyalty Program",React Native + Node.js,19000,7
14,legal,"I want a case management system for law firms",45000,24,low,none,desktop,"Case Management, Document Storage, Time Tracking, Billing System, Client Portal, Reports",Electron + React,45000,24
15,media,"I need a news and content management platform",24000,10,medium,minor,web,"Content Management, User Authentication, Comments, Social Sharing, Analytics, SEO Optimization",Django + PostgreSQL,24000,10
16,pharmaceutical,"I want a medication reminder app",17000,6,high,major,mobile,"Medication Tracking, Reminder System, Health Records, Doctor Communication, Push Notifications, Emergency Contacts",Kotlin + Android Native,17000,6
17,construction,"I need a project management system for construction companies",50000,26,low,none,desktop,"Project Planning, Resource Management, Time Tracking, Budget Control, Document Management, Reporting",WPF + C#,50000,26
18,agriculture,"I want a farm management app",21000,8,high,major,mobile,"Crop Management, Weather Integration, Equipment Tracking, Financial Planning, Push Notifications, Market Prices",Flutter + Firebase,21000,8
19,consulting,"I need a client relationship management system",36000,18,low,none,desktop,"Client Database, Project Tracking, Time Billing, Document Management, Reporting, Analytics",Qt + Python,36000,18
20,music,"I want a music streaming app",29000,12,high,major,mobile,"Music Library, Playlist Creation, Offline Download, Social Features, Push Notifications, Audio Quality Settings",React Native + Node.js,29000,12
21,insurance,"I need a claims processing system",48000,25,low,none,desktop,"Claims Management, Policy Management, Customer Portal, Document Processing, Reporting, Analytics",Electron + React,48000,25
22,pet_care,"I want a pet care and veterinary app",20000,8,high,major,mobile,"Pet Profiles, Appointment Booking, Health Records, Medication Reminders, Push Notifications, Emergency Contacts",Swift + iOS Native,20000,8
23,accounting,"I need an accounting software for small businesses",34000,16,low,none,desktop,"General Ledger, Accounts Payable, Accounts Receivable, Financial Reports, Tax Preparation, Bank Reconciliation",WPF + C#,34000,16
24,home_services,"I want a home service booking app",23000,9,high,major,mobile,"Service Booking, Provider Profiles, Payment Processing, Real-time Tracking, Push Notifications, Reviews",Flutter + Firebase,23000,9
25,research,"I need a data collection and analysis platform",31000,14,medium,minor,web,"Data Collection, Survey Creation, Analytics Dashboard, Report Generation, Export Tools, Collaboration",MEAN Stack,31000,14
26,childcare,"I want a daycare management app",18000,7,high,major,mobile,"Child Profiles, Attendance Tracking, Parent Communication, Activity Planning, Push Notifications, Photo Sharing",React Native + Node.js,18000,7
27,manufacturing,"I need a production planning system",52000,28,low,none,desktop,"Production Planning, Inventory Control, Quality Management, Equipment Maintenance, Reporting, Analytics",Qt + Python,52000,28
